Mapping from algorithm to int: {'recomp-inc3': 3, 'recomp-astar': 2, 'inc3': 1, 'astar': 0}

Param search space: 
{'min_samples_split': [2, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95], 'criterion': ['gini', 'entropy'], 'max_depth': [3, 4, 5, 6, 7, 8, 9]}

n_folds: 5, n_proc: 7, value_count: {0: 3826, 1: 1650, 2: 440, 3: 84}, proportion: {0: 0.6376666666666667, 1: 0.275, 2: 0.07333333333333333, 3: 0.014}, class_weight: balanced
Best parameter set found on development set

{'min_samples_split': 15, 'criterion': 'gini', 'max_depth': 4}

Grid scores on development set: 

0.253 (+/-0.118) for {'min_samples_split': 80, 'criterion': 'entropy', 'max_depth': 5}
0.253 (+/-0.118) for {'min_samples_split': 85, 'criterion': 'entropy', 'max_depth': 5}
0.254 (+/-0.116) for {'min_samples_split': 90, 'criterion': 'entropy', 'max_depth': 5}
0.254 (+/-0.116) for {'min_samples_split': 95, 'criterion': 'entropy', 'max_depth': 5}
0.295 (+/-0.064) for {'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 6}
0.294 (+/-0.064) for {'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 6}
0.295 (+/-0.063) for {'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 6}
0.294 (+/-0.064) for {'min_samples_split': 15, 'criterion': 'entropy', 'max_depth': 6}
0.294 (+/-0.064) for {'min_samples_split': 20, 'criterion': 'entropy', 'max_depth': 6}
0.293 (+/-0.065) for {'min_samples_split': 25, 'criterion': 'entropy', 'max_depth': 6}
0.292 (+/-0.066) for {'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 6}
0.291 (+/-0.066) for {'min_samples_split': 35, 'criterion': 'entropy', 'max_depth': 6}
0.292 (+/-0.067) for {'min_samples_split': 40, 'criterion': 'entropy', 'max_depth': 6}
0.292 (+/-0.066) for {'min_samples_split': 45, 'criterion': 'entropy', 'max_depth': 6}
0.291 (+/-0.065) for {'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 6}
0.291 (+/-0.065) for {'min_samples_split': 55, 'criterion': 'entropy', 'max_depth': 6}
0.291 (+/-0.065) for {'min_samples_split': 60, 'criterion': 'entropy', 'max_depth': 6}
0.289 (+/-0.067) for {'min_samples_split': 65, 'criterion': 'entropy', 'max_depth': 6}
0.289 (+/-0.067) for {'min_samples_split': 70, 'criterion': 'entropy', 'max_depth': 6}
0.289 (+/-0.067) for {'min_samples_split': 75, 'criterion': 'entropy', 'max_depth': 6}
0.287 (+/-0.065) for {'min_samples_split': 80, 'criterion': 'entropy', 'max_depth': 6}
0.287 (+/-0.065) for {'min_samples_split': 85, 'criterion': 'entropy', 'max_depth': 6}
0.287 (+/-0.068) for {'min_samples_split': 90, 'criterion': 'entropy', 'max_depth': 6}
0.287 (+/-0.067) for {'min_samples_split': 95, 'criterion': 'entropy', 'max_depth': 6}
0.355 (+/-0.079) for {'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 7}
0.354 (+/-0.080) for {'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 7}
0.351 (+/-0.079) for {'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 7}
0.351 (+/-0.081) for {'min_samples_split': 15, 'criterion': 'entropy', 'max_depth': 7}
0.352 (+/-0.080) for {'min_samples_split': 20, 'criterion': 'entropy', 'max_depth': 7}
0.351 (+/-0.082) for {'min_samples_split': 25, 'criterion': 'entropy', 'max_depth': 7}
0.349 (+/-0.083) for {'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 7}
0.347 (+/-0.085) for {'min_samples_split': 35, 'criterion': 'entropy', 'max_depth': 7}
0.348 (+/-0.085) for {'min_samples_split': 40, 'criterion': 'entropy', 'max_depth': 7}
0.348 (+/-0.085) for {'min_samples_split': 45, 'criterion': 'entropy', 'max_depth': 7}
0.347 (+/-0.085) for {'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 7}
0.347 (+/-0.085) for {'min_samples_split': 55, 'criterion': 'entropy', 'max_depth': 7}
0.347 (+/-0.085) for {'min_samples_split': 60, 'criterion': 'entropy', 'max_depth': 7}
0.345 (+/-0.088) for {'min_samples_split': 65, 'criterion': 'entropy', 'max_depth': 7}
0.344 (+/-0.088) for {'min_samples_split': 70, 'criterion': 'entropy', 'max_depth': 7}
0.344 (+/-0.088) for {'min_samples_split': 75, 'criterion': 'entropy', 'max_depth': 7}
0.342 (+/-0.085) for {'min_samples_split': 80, 'criterion': 'entropy', 'max_depth': 7}
0.342 (+/-0.085) for {'min_samples_split': 85, 'criterion': 'entropy', 'max_depth': 7}
0.343 (+/-0.085) for {'min_samples_split': 90, 'criterion': 'entropy', 'max_depth': 7}
0.341 (+/-0.087) for {'min_samples_split': 95, 'criterion': 'entropy', 'max_depth': 7}
0.316 (+/-0.047) for {'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 8}
0.315 (+/-0.047) for {'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 8}
0.314 (+/-0.047) for {'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 8}
0.313 (+/-0.048) for {'min_samples_split': 15, 'criterion': 'entropy', 'max_depth': 8}
0.313 (+/-0.046) for {'min_samples_split': 20, 'criterion': 'entropy', 'max_depth': 8}
